source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val,r_est,r_lo,r_hi,r_len
573981628461081088,9.551164056752652,0.20679461310197908,85.5135049234558,0.1851372409258103,0.38001591677979313,0.20886762385713512,-4.8158384236524405,0.6031672513012031,19.036442,1.8995132,0.93603516,0.9634781,,,NOT_AVAILABLE,122.65165938495203,22.648957836614336,,,1909.7988977594,1406.91026667441,2730.53668253913,565.78679490267
573930226293633152,13.182964994559391,0.8084843813726764,85.02881972593887,0.8007692601834576,1.774403607602128,0.8469584730078042,4.7632571871440215,0.5192746118848874,20.448307,1.8481083,0.6987877,1.1493206,,,NOT_AVAILABLE,122.96218641644616,22.157145766922337,,,707.901525845473,406.329726063714,1579.78746611532,575.3158187856
573963903133271424,13.026927483610358,0.6805677508758065,85.33156686621788,0.6875562550308435,1.8132128364942355,0.6602030979822741,-0.18089007335005233,-0.5853854442159087,20.45254,1.8217297,-0.13919258,1.9609222,,,NOT_AVAILABLE,122.94666702960966,22.459836044734708,,,626.219444289261,402.504177207765,1237.3401361026,568.673603059077
573938369551585792,12.318839769934804,0.3979761645178754,85.22952331081319,0.2722663600012347,2.023227246983344,0.36453207689593103,-5.4626100577220935,2.548489717908189,19.774231,2.877493,1.5035038,1.3739891,,,NOT_AVAILABLE,122.88330396582047,22.35797744808463,,,505.733347650121,418.412343024178,637.43989686371,571.147987874052
573984892636597376,9.029232424942002,0.5875280466055837,85.57766292099032,0.623902377272353,-0.24400021304590291,0.6192742574066374,-3.7728753031712707,2.4131093914959783,20.280193,1.6321468,0.8786888,0.753458,,,NOT_AVAILABLE,122.6119802955404,22.715433666819308,,,1774.77828932276,1116.55356328799,2833.53885723892,564.546558639113
573965208802228608,13.49075910713402,1.8920825736179967,85.38872976216382,1.8812186850858992,-0.3411951030961293,1.6623025693619264,0.39894605889027906,1.4839097946674098,20.89026,1.8672218,0.86550903,1.0017128,,,NOT_AVAILABLE,122.98685897161413,22.5172491248356,,,1304.34939389271,680.945520867171,2350.40650092421,567.273495360825
573933284310223232,10.212361092174204,0.2334349926046825,85.06527620944856,0.18255059269449275,0.17496851337540445,0.2275914689267777,-2.10778023678522,1.8443857149278486,19.20538,1.1620598,0.48479462,0.67726517,,,NOT_AVAILABLE,122.6860708256356,22.19858145063173,,,2285.82615059116,1651.62677202051,3271.74037971319,575.456274844069
573982281296480640,9.334692892057735,0.4175666272883815,85.58040314181501,0.3708267607368394,0.5046272898851886,0.427525166720441,-1.0953755925493827,-0.7687196005543994,19.885128,1.33008,0.49885178,0.83122826,,,NOT_AVAILABLE,122.63764132607835,22.716711481182774,,,1454.97566136719,953.523159869857,2361.70573341916,564.416362168593
573941260065522304,11.96240668406594,0.019355350590362513,85.22474691202255,0.016541156851452576,0.5189748454399152,0.02122186431219697,-2.06415738711634,-1.079550606856998,14.48366,0.89451885,0.3687706,0.52574825,,,NOT_AVAILABLE,122.85117646885887,22.353559480111855,5565.0,,1821.66056601772,1753.53044000326,1895.17163648571,571.37069432954
573983827484707584,9.623879021180807,0.3033531810972673,85.60114975499441,0.28992352114550285,0.6818852909807632,0.33721262139403896,6.126912100475296,-2.4430396888062615,19.73342,2.1407814,1.0800419,1.0607395,,,NOT_AVAILABLE,122.66298584649891,22.73615958215161,,,1314.92598938691,908.606322191078,2080.68191620248,563.907133304525
