distance,reddening,distance_uncertainty,reddening_uncertainty_min,reddening_uncertainty_max
420,0.193,31,0.074,0.074
425,0.193,31,0.074,0.074
430,0.194,32,0.075,0.075
435,0.194,32,0.078,0.078
440,0.195,32,0.079,0.079
445,0.195,32,0.078,0.078
450,0.195,32,0.078,0.078
455,0.196,32,0.078,0.078
460,0.196,32,0.08,0.08
465,0.197,32,0.081,0.081
470,0.197,32,0.081,0.081
475,0.197,33,0.084,0.084
480,0.198,33,0.087,0.087
485,0.198,33,0.088,0.088
490,0.198,33,0.089,0.089
495,0.199,33,0.089,0.089
500,0.199,33,0.091,0.091
505,0.199,34,0.092,0.092
510,0.2,34,0.091,0.091
515,0.2,34,0.092,0.092
520,0.2,34,0.094,0.094
525,0.201,34,0.095,0.095
530,0.201,34,0.097,0.097
535,0.201,34,0.093,0.093
540,0.202,34,0.091,0.091
545,0.202,34,0.093,0.093
550,0.203,34,0.093,0.093
555,0.203,34,0.096,0.096
560,0.204,34,0.099,0.099
565,0.204,35,0.098,0.098
570,0.205,35,0.099,0.099
575,0.206,36,0.1,0.1
580,0.207,36,0.1,0.1
585,0.208,36,0.1,0.1
590,0.209,36,0.101,0.101
595,0.21,36,0.103,0.103
600,0.212,37,0.109,0.109
605,0.214,37,0.112,0.112
610,0.216,37,0.108,0.108
615,0.218,37,0.109,0.109
620,0.221,37,0.11,0.11
625,0.223,37,0.111,0.111
630,0.225,37,0.11,0.11
635,0.227,38,0.11,0.11
640,0.229,38,0.11,0.11
645,0.231,38,0.111,0.111
650,0.232,38,0.112,0.112
655,0.234,39,0.115,0.115
660,0.235,39,0.115,0.115
665,0.236,39,0.116,0.116
670,0.237,39,0.119,0.119
675,0.238,39,0.115,0.115
680,0.239,39,0.114,0.114
685,0.239,39,0.115,0.115
690,0.24,38,0.116,0.116
695,0.241,38,0.117,0.117
700,0.241,39,0.118,0.118
705,0.242,39,0.119,0.119
710,0.242,40,0.119,0.119
715,0.243,40,0.119,0.119
720,0.244,41,0.117,0.117
725,0.244,41,0.116,0.116
730,0.245,41,0.116,0.116
735,0.245,41,0.117,0.117
740,0.246,42,0.118,0.118
745,0.246,42,0.118,0.118
750,0.247,43,0.118,0.118
755,0.247,42,0.111,0.111
760,0.248,42,0.104,0.104
765,0.248,42,0.104,0.104
770,0.248,42,0.104,0.104
775,0.249,42,0.104,0.104
780,0.249,42,0.105,0.105
785,0.25,43,0.105,0.105
790,0.25,43,0.105,0.105
795,0.251,43,0.105,0.105
800,0.251,43,0.098,0.098
805,0.252,44,0.093,0.093
810,0.252,44,0.096,0.096
815,0.253,44,0.099,0.099
820,0.253,44,0.098,0.098
825,0.254,45,0.1,0.1
830,0.254,45,0.103,0.103
835,0.255,45,0.103,0.103
840,0.255,45,0.104,0.104
845,0.256,46,0.107,0.107
850,0.256,46,0.107,0.107
855,0.257,46,0.106,0.106
860,0.257,46,0.105,0.105
865,0.258,47,0.102,0.102
870,0.258,47,0.104,0.104
875,0.259,47,0.109,0.109
880,0.259,48,0.107,0.107
885,0.26,48,0.109,0.109
890,0.26,49,0.117,0.117
895,0.261,49,0.12,0.12
900,0.262,49,0.129,0.129
905,0.262,48,0.142,0.142
910,0.263,48,0.144,0.144
915,0.264,48,0.148,0.148
920,0.264,48,0.148,0.148
925,0.265,48,0.149,0.149
930,0.266,49,0.152,0.152
