source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
5.98858E+17,132.156733,0.036312085,11.09992926,0.024682686,0.541040766,0.044195623,-0.850130088,-4.478753998,15.547823,0.7947607,0.31698704,0.47777367,,,NOT_AVAILABLE,216.1166111,31.00725467,5899.25,0.1692
5.98859E+17,132.1578298,3.090450918,11.10675976,2.297937447,,,,,21.000078,,,,,,NOT_AVAILABLE,216.1099269,31.01112676,,
5.98658E+17,132.6183983,0.51609141,11.01234211,0.344415739,-1.521919631,0.796786099,-0.739409498,-2.396364185,19.971956,1.0384789,0.4932766,0.54520226,,,NOT_AVAILABLE,216.4343252,31.38022198,,
5.98656E+17,132.6442686,0.251328844,10.93456773,0.179852071,0.788073183,0.352928422,1.903104338,-4.335951189,18.672903,0.8636856,0.357296,0.5063896,,,NOT_AVAILABLE,216.5294156,31.37008695,,
5.98644E+17,132.6902753,1.777905659,10.89631265,1.419006585,0.425393404,1.592111929,-1.119746875,-4.270762493,20.743696,1.0383415,0.12458038,0.91376114,,,NOT_AVAILABLE,216.5925089,31.3946411,,
5.98681E+17,132.6638877,0.378654447,11.02513396,0.220360955,-0.062195253,0.469850438,0.889471429,-1.105175125,19.6037,1.2542591,0.5404949,0.7137642,,,NOT_AVAILABLE,216.443016,31.42607287,,
5.98847E+17,132.1929727,0.243574142,11.1057959,0.179086189,0.916906668,0.298318221,1.349841211,-4.267354623,19.018845,1.9039421,0.9396305,0.9643116,,,NOT_AVAILABLE,216.128016,31.04194633,,
5.98658E+17,132.6207726,0.045980676,11.00819875,0.032075415,0.396389796,0.065665771,6.230147578,-4.483028146,15.764399,0.8607197,0.34976006,0.5109596,,,NOT_AVAILABLE,216.4398788,31.38056833,5768.25,
5.98852E+17,132.3051504,0.194442807,11.11187338,0.139338743,0.657959469,0.271103322,-5.864428392,-7.37326702,18.556787,1.2935028,0.5880127,0.7054901,,,NOT_AVAILABLE,216.1761225,31.14420377,,
5.98665E+17,133.0267525,1.364365315,10.96907644,0.984483586,0.078390541,1.611820019,2.155968236,-1.357439668,20.707993,1.7023716,0.54063606,1.1617355,,,NOT_AVAILABLE,216.6805793,31.72450084,,
5.98617E+17,133.0553164,0.074126069,10.87558313,0.059740549,2.366075842,0.088319327,-4.936899949,-7.620680256,11.307106,0.61643314,0.25196266,0.36447048,9.987921761,0.92988472,NOT_AVAILABLE,216.7940482,31.70997596,6425.3335,0.695
